song_name,time,album_name,genre,release_date,album_artist,,,
"f**k, i'm lonely (feat. Anne-Marie) [from “13 Reasons Why: Season 3”]",3:19,"f**k, i'm lonely (feat. Anne-Marie) [From “13 Reasons Why: Season 3”] - Single",Pop,8/1/2019,Lauv,,,
Shut Up and Dance,3:19,TALKING IS HARD,Alternative,12/2/2014,WALK THE MOON,,,
What Makes You Beautiful,3:19,Up All Night (Deluxe Version),Pop,9/11/2011,One Direction,,,
Glad You Came,3:19,Glad You Came - Single,Pop,10/22/2010,The Wanted,,,
If You Want Love,3:19,Perception,Hip-Hop/Rap,10/6/2017,NF,,,
There's Nothing Holdin' Me Back,3:19,Illuminate (Deluxe),Pop,9/23/2016,Shawn Mendes,,,
What Lovers Do (feat. SZA),3:20,Red Pill Blues (Deluxe),Pop,8/30/2017,Maroon 5,,,
Keep On Loving You,3:20,Hi Infidelity (30th Anniversary Edition),Pop/Rock,1/1/1980,REO Speedwagon,,,
Burn Out (feat. Dewain Whitmore),3:20,Burn Out (feat. Dewain Whitmore) - Single,Dance,9/14/2018,Martin Garrix & Justin Mylo,,,
All Star,3:20,Astro Lounge,Alternative,5/4/1999,Smash Mouth,,,
Lush Life,3:21,So Good,Pop,3/17/2017,Zara Larsson,,,
Hands To Myself,3:21,Revival (Deluxe),Pop,10/9/2015,Selena Gomez,,,
Too Good at Goodbyes,3:21,The Thrill of It All (Special Edition),Pop,9/8/2017,Sam Smith,,,
Stuck in the Middle,3:21,A Real Good Kid,Alternative,1/18/2019,Mike Posner,,,
Good Thing,3:21,In the Lonely Hour,Pop,5/26/2014,Sam Smith,,,
Three Wooden Crosses,3:21,On the Other Hand - All the Number Ones,Country,9/27/2002,Randy Travis,,,
me & ur ghost,3:21,everything means nothing,Pop,1/16/2020,blackbear,,,
Cleopatra,3:21,Cleopatra (Deluxe),Alternative,3/25/2016,The Lumineers,,,
Mad Hatter,3:21,Cry Baby (Deluxe Edition),Alternative,8/14/2015,Melanie Martinez,,,
Sweet Caroline,3:22,Sweet Caroline,Pop,1/1/1969,Neil Diamond,,,
Blinding Lights,3:22,Blinding Lights - Single,R&B/Soul,11/29/2019,The Weeknd,,,
Like a Rodeo,3:22,Experiment Extended,Country,7/12/2019,Kane Brown,,,
Riptide,3:22,Dream Your Life Away (Special Edition),Alternative,3/22/2013,Vance Joy,,,
Lost in the Fire,3:22,Hyperion,Electronic,3/1/2019,Gesaffelstein,,,
How Do You Sleep?,3:22,How Do You Sleep? - Single,Pop,7/19/2019,Sam Smith,,,
Stressed Out,3:22,Blurryface,Alternative,4/28/2015,twenty one pilots,,,
She Looks So Perfect,3:23,5 Seconds of Summer (Bonus Track Version),Pop,2/21/2014,5 Seconds of Summer,,,
Party In the U.S.A.,3:23,Party In the U.S.A. - Single,Pop,8/11/2009,Miley Cyrus,,,
PILLOWTALK,3:23,Mind of Mine (Deluxe Edition),Pop,1/29/2016,ZAYN,,,
Chains,3:23,Nick Jonas,Pop,7/30/2014,Nick Jonas,,,
Youngblood,3:23,Youngblood (Deluxe),Pop,4/13/2018,5 Seconds of Summer,,,
I Love Me,3:24,I Love Me - Single,Pop,3/6/2020,Demi Lovato,,,
Pity Party,3:24,Cry Baby (Deluxe Edition),Alternative,6/2/2015,Melanie Martinez,,,
Timber (feat. Ke$ha),3:24,Global Warming: Meltdown (Deluxe Version),Pop,11/16/2012,Pitbull,,,
South of the Border (feat. Camila Cabello & Cardi B),3:24,No.6 Collaborations Project,Pop,7/12/2019,Ed Sheeran,,,
Cross Me (feat. Chance the Rapper & PnB Rock),3:25,No.6 Collaborations Project,Pop,5/24/2019,Ed Sheeran,,,
Broken,3:25,Everything I Could Never Say... - EP,Alternative,4/14/2017,lovelytheband,,,
Homegrown,3:25,JEKYLL + HYDE,Country,1/12/2015,Zac Brown Band,,,
Act Like You Love Me,3:25,Handwritten (Revisited),Pop,11/20/2015,Shawn Mendes,,,
Homesick,3:25,Experiment Extended,Country,9/7/2018,Kane Brown,,,
Bad Reputation (feat. Joe Janiak),3:25,TIM,Dance,6/6/2019,Avicii,,,
Chasin' You,3:25,If I Know Me,Country,4/27/2018,Morgan Wallen,,,
Love Someone,3:25,3 (The Purple Album),Pop,9/7/2018,Lukas Graham,,,
You should be sad,3:25,Manic,Alternative,11/8/2019,Halsey,,,
Apologize,3:26,Dreaming Out Loud,Pop,4/30/2006,OneRepublic,,,
Hold Me While You Wait,3:26,Divinely Uninspired To A Hellish Extent,Alternative,5/3/2019,Lewis Capaldi,,,
In Your Arms,3:26,Black Star Elephant,Pop,9/6/2014,Nico & Vinz,,,
Way Less Sad,3:26,OK ORCHESTRA,Alternative,2/17/2021,AJR,,,
Beach House,3:26,Sick Boy,Dance,11/16/2018,The Chainsmokers,,,
We Own the Night,3:26,We Own the Night - Single,Pop,8/11/2013,The Wanted,,,
Marry Me,3:26,Life Changes,Country,9/8/2017,Thomas Rhett,,,
Turn My Swag On,3:26,iSouljaBoyTellem (Deluxe Version),Hip Hop/Rap,12/13/2008,Soulja Boy Tell 'Em,,,
Hula Hoop,3:26,Me 4 U,Pop/Rock,8/28/2015,Omi,,,
